File,Line,Style Content,Is Legitimate,Priority
components/DynamicChart.tsx,136,"flex: '1 1 65%', display: 'flex', flexDirection: 'column', alignItems: 'center', width: '100%'",No,Low
components/DynamicChart.tsx,137,"width: '100%', aspectRatio: '1', maxWidth: 'none', display: 'flex', justifyContent: 'center', alignItems: 'center'",No,Low
components/DynamicChart.tsx,138,"width: '100%', height: '100%', maxWidth: 'none'",No,Low
components/DynamicChart.tsx,161,"marginTop: '0.5rem', textAlign: 'center', fontSize: '0.9rem', width: '100%'",No,Low
components/DynamicChart.tsx,166,"flex: '1 1 35%', display: 'flex', flexDirection: 'column', justifyContent: 'center', width: '100%', minWidth: 0",No,Low
components/DynamicChart.tsx,167,"textAlign: 'left', fontSize: '0.85rem', width: '100%'",No,Low
components/DynamicChart.tsx,176,"width: '100%', height: '100%', display: 'flex', flexDirection: 'column'",No,Low
components/DynamicChart.tsx,177,"flex: '1 1 auto', display: 'flex', justifyContent: 'center', alignItems: 'center', width: '100%'",No,Low
components/DynamicChart.tsx,178,"width: '80%', aspectRatio: '1', display: 'flex', justifyContent: 'center', alignItems: 'center'",No,Low
components/DynamicChart.tsx,179,"width: '100%', height: '100%'",No,Low
components/DynamicChart.tsx,202,"fontSize: '0.8rem', padding: '0.5rem 0'",No,Low
components/DynamicChart.tsx,206,"fontSize: '0.8rem', padding: '0.25rem 0'",No,Low
components/DynamicChart.tsx,300,"display: 'flex', gap: '1.5rem', alignItems: 'flex-start', width: '100%', height: '100%'",No,Low
components/DynamicChart.tsx,303,"flex: '0 0 35%',
            textAlign: 'center',
            padding: '1.5rem',
            background: 'rgba(102, 126, 234, 0.05)',
            borderRadius: '1rem',
            border: '2px solid rgba(102, 126, 234, 0.1)',
            display: 'flex',
            flexDirection: 'column',
            justifyContent: 'center',
            alignItems: 'center',
            minHeight: '180px'",No,Low
components/DynamicChart.tsx,316,"fontSize: '2rem',
              fontWeight: '700',
              color: '#667eea',
              marginBottom: '0.5rem',
              lineHeight: 1",No,Low
components/DynamicChart.tsx,325,"fontSize: '0.9rem',
              fontWeight: '600',
              color: '#4a5568',
              textTransform: 'uppercase',
              letterSpacing: '0.1em'",No,Low
components/DynamicChart.tsx,338,"flex: '1 1 65%', width: '100%'",No,Low
components/DynamicChart.tsx,339,"width: '100%'",No,Low
components/DynamicChart.tsx,340,"fontSize: '0.85rem'",No,Low
components/DynamicChart.tsx,343,"width: '100%'",No,Low
components/DynamicChart.tsx,353,"width: '100%', height: '100%'",No,Low
components/DynamicChart.tsx,355,"textAlign: 'center',
            marginBottom: '1.5rem',
            padding: '1.25rem',
            background: 'rgba(102, 126, 234, 0.05)',
            borderRadius: '1rem',
            border: '2px solid rgba(102, 126, 234, 0.1)'",No,Low
components/DynamicChart.tsx,363,"fontSize: '2.25rem',
              fontWeight: '700',
              color: '#667eea',
              marginBottom: '0.5rem',
              lineHeight: 1",No,Low
